gateway_id,txn_time,payee_name,gateway_amount,gateway_fee,reference
GTW7000,2026-07-24,Nova Health Systems,114633.15,2222.25,TXN1000
GTW7001,2026-08-12,Harbor Freight Co,13990.37,273.0,TXN1001
GTW7002,2026-07-06,Sundar Foods,140632.24,2725.8,TXN1002
GTW7003,2026-07-07,Nova Health Systems,43375.0,842.13,TXN1003
GTW7004,2026-08-10,Prakash Electricals,51508.5,999.66,TXN1004
GTW7005,2026-07-24,Nova Health Systems,67144.21,1302.49,TXN1005
GTW7006,2026-07-18,Ganga Steel Works,39183.59,760.95,TXN1006
GTW7007,2026-08-08,Zenith Motors,118124.61,2289.88,TXN1007
GTW7008,2026-07-11,Coral Retail Group,132722.17,2572.6,TXN1008
GTW7009,2026-08-10,Nimbus Cloud Services,179597.06,3480.47,TXN1009
GTW7010,2026-08-13,Harbor Freight Co,101727.97,1972.31,TXN1010
GTW7011,2026-07-04,Ganga Steel Works,153194.23,2969.1,TXN1011
GTW7012,2026-07-26,Bluewave Traders,146388.61,2837.29,TXN1012
GTW7013,2026-08-06,Kalyan Textiles Pvt Ltd,39449.26,766.09,TXN1013
GTW7014,2026-08-01,Ganga Steel Works,39745.15,771.82,TXN1014
GTW7016,2026-07-17,Harbor Freight Co,102523.34,1987.71,TXN1016
GTW7017,2026-08-07,Harbor Freight Co,106702.87,2068.66,TXN1017
GTW7019,2026-07-10,Bluewave Traders,156479.64,3032.74,TXN1019
GTW7020,2026-08-13,Zenith Motors,30268.42,588.28,TXN1020
GTW7021,2026-08-08,Kalyan Textiles Pvt Ltd,70732.81,1371.99,TXN1021
GTW7022,2026-08-05,Vertex Consulting,96717.22,1875.26,TXN1022
GTW7023,2026-07-08,Bluewave Traders,123929.7,2402.31,TXN1023
GTW7024,2026-07-18,Zenith Motors,160743.37,3115.31,TXN1024
GTW7025,2026-07-28,Ganga Steel Works,21550.39,419.43,TXN1025
GTW7026,2026-07-17,Orbit Logistics,83145.89,1612.41,TXN1026
GTW7027,2026-08-02,Coral Retail Group,138632.98,2687.08,TXN1027
GTW7028,2026-08-10,Nova Health Systems,114031.98,2210.61,TXN1028
GTW7029,2026-07-10,Coral Retail Group,111092.36,2153.67,TXN1029
GTW7030,2026-08-04,Ganga Steel Works,138731.74,2688.99,TXN1030
GTW7031,2026-07-01,Rajlaxmi Enterprises,167520.08,3246.57,TXN1031
GTW7032,2026-07-24,Vertex Consulting,4975.57,98.41,TXN1032
GTW7033,2026-07-16,Nova Health Systems,146699.86,2843.32,TXN1033
GTW7035,2026-07-05,Harbor Freight Co,88954.34,1724.91,TXN1035
GTW7036,2026-07-09,Rajlaxmi Enterprises,97363.8,1887.78,TXN1036
GTW7037,2026-08-05,Zenith Motors,87026.75,1687.57,TXN1037
GTW7038,2026-08-08,Nimbus Cloud Services,96457.91,1870.23,TXN1038
GTW7039,2026-08-14,Sundar Foods,168686.47,3269.16,TXN1039
GTW7040,2026-07-26,Sundar Foods,129809.94,2516.2,TXN1040
GTW7043,2026-07-15,Coral Retail Group,42893.26,832.79,TXN1043
GTW7044,2026-08-10,Bluewave Traders,14249.21,278.02,TXN1044
GTW7045,2026-07-03,Sundar Foods,13602.47,265.49,TXN1045
GTW7046,2026-07-18,Kalyan Textiles Pvt Ltd,94024.54,1823.11,TXN1046
GTW7047,2026-08-04,Zenith Motors,88850.66,1722.9,TXN1047
GTW7049,2026-07-07,Rajlaxmi Enterprises,74745.79,1449.71,TXN1049
GTW7050,2026-07-28,Zenith Motors,79064.53,1533.36,TXN1050
GTW7051,2026-07-04,Prakash Electricals,85540.25,1658.78,TXN1051
GTW7052,2026-07-26,Zenith Motors,19186.05,373.63,TXN1052
GTW7053,2026-07-07,Harbor Freight Co,62548.55,1213.48,TXN1053
GTW7054,2026-08-04,Sundar Foods,35958.3,698.48,TXN1054
GTW7055,2026-07-12,Vertex Consulting,26704.2,519.25,TXN1055
GTW7057,2026-08-04,Bluewave Traders,118864.39,2304.2,TXN1057
GTW7058,2026-07-06,Nova Health Systems,4126.12,81.95,TXN1058
GTW7059,2026-07-16,Everest Traders,137121.46,2657.81,TXN1059
